kniha,staty
,"Česko, Německo, Itálie, Egypt, Spojené státy americké, Rakousko, Indonésie, Spojené království, Chorvatsko, Japonsko, Austrálie, Island"
"Klimek, Tomáš, | Vyplavená smrt /","Česko, Německo, Itálie"
"Klimeš, David, | Vir /","Egypt, Francie, Itálie, Izrael, Česko"
"Klimeš, Ladislav, | Kolaborant /","Spojené království, Irák, Afghánistán, Rusko, Česko"
"Klouda, Filip, | Neonová cizinka /","Japonsko, Česko"
"Klíma, Josef, | Jak zabít dvakrát :","Austrálie, Česko"
"Knauerová, Marta, | Život za krejcar, smrt za dva :","Česko, Řecko, Turecko"
"Kocourek, Josef, | Jensen a lilie ;","Francie, Československo, Palestina, Indie, Japonsko, Persie, Čína"
"Kocábová, Natálie, | Domů :","Česko, Itálie, Rusko"
"Kohout, Pavel, | Taková láska :","Itálie, Rakousko, Francie, Československo, Spojené státy americké, Spojené království, Sovětský svaz, Německo, Japonsko, Norsko, Belgie, Nizozemsko, Řecko"
"Kohák, Jakub, | Perly v botě /","Německo, Spojené státy americké, Francie, Česko, Mexiko"
"Kokinopulosová, Iva, | Sídliště Svět /",Česko
"Kollerová Mašková, Aneta, | Každý den je Valentýn :","Česko, Spojené království"
"Kolár, Vladimír, | Vyhnaní ze života :","Česko, Německo, Rakousko, Francie, Spojené státy americké, Palestina, Rusko"
"Kolář, Pavel, | Řeka pod hladinou :","Kanada, Polsko, Spojené státy americké, Česko"
"Komorousová, Tereza | Bez zábran /","Česko, Německo, Ukrajina"
"Komrsková, Alžběta, | Průvodkyně duší /",Himalaharú
"Komárková, Kristýna, | Znamení koně /","Česko, Československo, Spojené státy americké"
"Konáš, Jaroslav, | Město v mlze /",Česko
"Korcová, Lucie, | Mezi vlky /","Itálie, Německo, Polsko, Rumunsko, Spojené státy americké, Československo, Česko"
"Koryta, Filip, | Falknov calling /",Česko
"Kos, Jakub Petr, | Archanděl.","Hillandon, Archaea, Aheao"
"Kostka, Karel, | Ve jménu minulosti /","Francie, Španělsko, Itálie"
"Kotleta, František | Underground.","Česká republika, Polsko, Sovětský svaz, Spojené státy americké, Vietnam"
"Kotouč, Jan, | Bitva o české země /","Česko, Slovensko, Rusko, Turecko, Francie, Brazílie, Spojené státy americké, Bulharsko, Rumunsko, Čína"
"Koubek, Vilém, | Posmrtná predace /","Česko, Sovětský svaz"
"Koubková, Zuzana, | Zázračný medailon /","Česko, Španělsko, Itálie, Egypt"
"Koukalová, Zuzana, | Devatero hádek /",
"Koutná, Barbora, | Všechno bude dobrý, Beth :","Česko, Srí Lanka, Spojené státy americké"
"Kočová, Anežka, | Trnitá kletba /","Česko, Aztlán"
"Kořen, Vladimír, | Řeka zázraků :","Česko, Německo, Francie, Belgie"
"Kracíková, Jindřiška, | Veselé Vánoce, Kristýno! /","Česko, Německo"
"Krajčo Babinská, Karin, | Tsunami /","Česko, Francie, Irsko, Itálie, Německo, Monako"
